City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Los Llanos de Aridane,75,ES,1578187952,59,28.66,-17.92,64.4,9.17
Saskylakh,0,RU,1578187953,94,71.97,114.09,-20.18,7.49
Rikitea,67,PF,1578187953,80,-23.12,-134.97,76.08,18.99
Mataura,100,NZ,1578187953,68,-46.19,168.86,57.99,21
San Cristobal,19,HN,1578187953,96,14.68,-86.92,63.21,3.87
Ushuaia,75,AR,1578187954,62,-54.81,-68.31,51.8,11.41
Westport,90,US,1578187766,93,41.14,-73.36,48.99,4.7
Vaini,0,IN,1578187954,100,15.34,74.49,57.2,7.76
Nikolskoye,90,RU,1578187955,76,59.7,30.79,32,24.61
Yerbogachen,100,RU,1578187955,92,61.28,108.01,5.72,9.08
Barrow,74,AR,1578187955,89,-38.31,-60.23,63.7,10.25
Albany,90,US,1578187803,93,42.65,-73.75,37.99,10
Burns Lake,0,CA,1578187955,89,54.23,-125.76,18.81,4.7
Kapaa,90,US,1578187685,83,22.08,-159.32,80.6,19.46
Mbanza-Ngungu,100,CD,1578187956,97,-5.25,14.87,67.48,2.55
Algiers,1,US,1578187956,44,29.94,-90.04,57.2,4.7
Bambous Virieux,75,MU,1578187956,94,-20.34,57.76,75.2,10.67
Padang,95,ID,1578187725,90,-0.92,100.36,69.39,5.93
Chuy,2,UY,1578187698,78,-33.69,-53.46,68.14,11.34
Cidreira,0,BR,1578187957,82,-30.17,-50.22,72.93,17.9
Jamestown,100,AU,1578187958,70,-33.21,138.6,53.37,10.47
Ilulissat,99,GL,1578187958,71,69.22,-51.1,8.6,3.36
Staryy Nadym,81,RU,1578187958,87,65.61,72.68,24.96,22.75
Waipawa,56,NZ,1578187773,52,-39.94,176.59,70,14
Saint-Philippe,90,CA,1578187959,92,45.36,-73.48,30.99,5.82
Eirunepe,76,BR,1578187959,81,-6.66,-69.87,77.4,3.78
Ixtapa,20,MX,1578187959,73,20.71,-105.21,71.6,7.2
Punta Arenas,90,CL,1578187959,81,-53.16,-70.91,48.2,4.7
Beringovskiy,0,RU,1578187960,72,63.05,179.32,-7.06,18.63
Deputatskiy,100,RU,1578187960,95,69.3,139.9,-5.06,1.81
Pangai,20,TO,1578187960,69,-19.8,-174.35,82.4,8.05
Hobart,88,AU,1578187705,52,-42.88,147.33,64.4,11.41
Upernavik,75,GL,1578187718,96,72.79,-56.15,-35.84,12.35
Marsa Matruh,20,EG,1578187961,81,31.35,27.25,48.2,9.17
New Norfolk,0,AU,1578187961,36,-42.78,147.06,73.99,11.41
Puerto Ayora,20,EC,1578187961,65,-0.74,-90.35,80.6,16.11
Bull Savanna,53,JM,1578187962,94,17.89,-77.59,69.62,4.29
Newburgh,90,US,1578187962,81,41.5,-74.01,46.99,6.93
Vila Franca do Campo,20,PT,1578187962,88,37.72,-25.43,64.4,13.87
Caruray,20,PH,1578187962,66,10.31,119.01,86,16.11
Anchorage,40,US,1578187803,83,61.22,-149.89,3.99,3.91
Minbu,93,MM,1578187963,63,20.18,94.88,75.92,2.3
Carnarvon,15,ZA,1578187963,37,-30.97,22.13,59.72,7.9
Mar del Plata,74,AR,1578187964,65,-46.43,-67.52,59.45,8.93
Labuhan,100,ID,1578187964,91,-2.54,115.51,77.13,1.01
Cayenne,98,GF,1578187964,83,4.94,-52.33,78.8,4.7
Severnoye,100,RU,1578187964,95,54.09,52.54,29.86,16.11
Busselton,27,AU,1578187964,21,-33.64,115.35,84,10.42
Choctaw,1,US,1578187965,56,35.5,-97.27,46,10.29
Avarua,2,CK,1578187820,83,-21.21,-159.78,82.4,3.36
Marawi,0,PH,1578187965,68,8,124.29,84,3
Eydhafushi,63,MV,1578187965,78,5.1,73.07,81.7,10.4
Tasiilaq,100,GL,1578187965,79,65.61,-37.64,26.6,7.67
Marshalltown,1,US,1578187966,85,42.04,-92.91,28,6.93
Puerto Escondido,75,MX,1578187966,78,15.86,-97.07,80.6,5.82
Catuday,0,PH,1578187966,73,16.29,119.81,78.06,9.73
Atuona,0,PF,1578187966,67,-9.8,-139.03,81.32,5.35
